"date","link","text_ch","text_en","uid"
"2020-01-28","http://wjw.shanxi.gov.cn:80/wjywl02/24363.hrh","(2020年1月28日)山西省新型冠状病毒感染的肺炎疫情情况","(January 28, 2020) Epidemic Situation of New Coronavirus Infection in Shanxi Province","2020_01_28_en_506e8ace_4449_11ea_925e_5f121fde4e57.html"
"2020-01-29","http://wjw.shanxi.gov.cn:80/wjywl02/24449.hrh","山西首例新型冠状病毒感染的肺炎患者治愈出院","First patient with pneumonitis infected by new coronavirus cured in Shanxi","2020_01_29_en_f9704cee_4448_11ea_925e_5f121fde4e57.html"
"2020-01-29","http://wjw.shanxi.gov.cn:80/wjywl02/24446.hrh","山西省卫生健康委员会召开新型冠状病毒感染的肺炎中医药专项应急救治工作视频会议","Shanxi Provincial Health and Health Committee held a video conference on emergency treatment of pneumonia in traditional Chinese medicine with new coronavirus infection","2020_01_29_en_0156d41e_4449_11ea_925e_5f121fde4e57.html"
"2020-01-29","http://wjw.shanxi.gov.cn:80/wjywl02/24412.hrh","山西省防控新型肺炎集中隔离点信息公告","Announcement of Centralized Isolation Point for New Pneumonia Prevention and Control in Shanxi Province","2020_01_29_en_08f6f4b0_4449_11ea_925e_5f121fde4e57.html"
"2020-01-29","http://wjw.shanxi.gov.cn:80/wjywl02/24388.hrh","关于武汉来晋返晋人员加强登记管理的通告","Circular on Strengthening Registration Management of Returning Jin People from Wuhan","2020_01_29_en_2ec1783c_4449_11ea_925e_5f121fde4e57.html"
"2020-01-29","http://wjw.shanxi.gov.cn:80/wjywl02/24384.hrh","山西省通过十二项举措加强对武汉来晋返晋人员的健康管理","Shanxi Province adopts twelve measures to strengthen the health management of returnees from Wuhan","2020_01_29_en_342ee19c_4449_11ea_925e_5f121fde4e57.html"
"2020-01-29","http://wjw.shanxi.gov.cn:80/sguzgebl02/24383.hrh","驰援湖北 大爱无疆|我们一定不负重托!","Assisting Hubei Great Love Without Limits ￯ﾽﾜ We must not be burdened!","2020_01_29_en_3dba1394_4449_11ea_925e_5f121fde4e57.html"
"2020-01-29","http://wjw.shanxi.gov.cn:80/wjywl02/24380.hrh","(2020年1月29日)山西省新型冠状病毒感染的肺炎疫情情况","(January 29, 2020) Epidemic Situation of New Coronavirus Infection in Shanxi Province","2020_01_29_en_47030258_4449_11ea_925e_5f121fde4e57.html"
"2020-01-30","http://wjw.shanxi.gov.cn:80/wjywl02/24491.hrh","山西省卫生健康委增加新型冠状病毒感染的肺炎医疗救治定点医院","Shanxi Provincial Health and Health Commission Increases New Coronavirus Infected Pneumonia Medical Sites","2020_01_30_en_ce105968_4448_11ea_925e_5f121fde4e57.html"
"2020-01-30","http://wjw.shanxi.gov.cn:80/wjywl02/24459.hrh","楼阳生:坚定不移落实党中央决策部署 坚决打好打赢疫情防控阻击战","Lou Yangsheng: Unswervingly implement the decision-making and deployment of the Party Central Committee, resolutely fight to win the fight against epidemic prevention","2020_01_30_en_d2175340_4448_11ea_925e_5f121fde4e57.html"
"2020-01-30","http://wjw.shanxi.gov.cn:80/wjywl02/24458.hrh","2020年1月30日山西省新型冠状病毒感染的肺炎疫情情况","Epidemic situation of new coronavirus infection in Shanxi Province on January 30, 2020","2020_01_30_en_f482b74e_4448_11ea_925e_5f121fde4e57.html"
"2020-01-31","http://wjw.shanxi.gov.cn:80/wjywl02/24518.hrh","精准管控!ﾓ湖北入晋人员管理APPﾔ紧急上线","Accurate control! ""Hubei Personnel Management App"" was launched","2020_01_31_en_c78c1db6_4448_11ea_925e_5f121fde4e57.html"
"2020-01-31","http://wjw.shanxi.gov.cn:80/wjywl02/24497.hrh","2020年1月31日山西省新型冠状病毒感染的肺炎疫情情况","Epidemic situation of new coronavirus infection in Shanxi Province on January 31, 2020","2020_01_31_en_c8cee2da_4448_11ea_925e_5f121fde4e57.html"
"2020-02-01","http://wjw.shanxi.gov.cn:80/wjywl02/24571.hrh","2020年2月1日山西省新型冠状病毒感染的肺炎疫情情况","Epidemic situation of new coronavirus infection in Shanxi Province on February 1, 2020","2020_02_01_en_bc22a2de_4519_11ea_925e_5f121fde4e57.html"
"2020-02-02","http://wjw.shanxi.gov.cn:80/wjywl02/24613.hrh","省文明办、省卫健委、省红十字会关于积极应对新型冠状病毒感染的肺炎疫情省市县乡村(社区)五级联防联控...","Provincial Civilization Office, Provincial Health and Health Commission, Provincial Red Cross Society on Proactive Response to Pneumonia Epidemic of New Coronavirus Infection","2020-02-02_en_fa9cd9b4-4607-11ea-925e-5f121fde4e57.html"
"2020-02-02","http://wjw.shanxi.gov.cn:80/wjywl02/24587.hrh","2020年2月2日山西省新型冠状病毒感染的肺炎疫情情况","Epidemic situation of new coronavirus infection in Shanxi Province on February 2, 2020","2020-02-02_en_fef0372c-4607-11ea-925e-5f121fde4e57.html"
"2020-02-03","http://wjw.shanxi.gov.cn:80/wjywl02/24631.hrh","2020年2月3日山西省新型冠状病毒感染的肺炎疫情情况","Epidemic situation of new coronavirus infection in Shanxi Province on February 3, 2020","2020-02-03_en_f6bdfca6-4607-11ea-925e-5f121fde4e57.html"
"2020-02-03","http://wjw.shanxi.gov.cn:80/wjywl02/24656.hrh","吴伟到省疾控中心调研疫情防控工作","Wu Wei visits the Provincial Center for Disease Control to investigate and control the epidemic","2020_02_03_en_8441ba18_4699_11ea_925e_5f121fde4e57.html"
"2020-02-03","http://wjw.shanxi.gov.cn:80/wjywl02/24644.hrh","省卫生健康委召开新型冠状病毒感染的肺炎省级专家组会诊视频会议","Provincial Health and Health Committee Holds Video Conference of Provincial Expert Group of Pneumonia Infected by New Coronavirus","2020_02_03_en_880e39b4_4699_11ea_925e_5f121fde4e57.html"
"2020-02-03","http://wjw.shanxi.gov.cn:80/wjywl02/24637.hrh","山西第二批援鄂医疗队踏上征途","Shanxi's second batch of medical teams to embark on Hubei","2020_02_03_en_8c45afd0_4699_11ea_925e_5f121fde4e57.html"
"2020-02-04","http://wjw.shanxi.gov.cn:80/swsjsl08/24691.hrh","关于印发山西省近期防控新型冠状病毒感染的肺炎工作实施方案的通知","Notice on Issuing the Implementation Plan of Shanxi Province's Recent Work to Prevent and Control New Coronavirus Infection","2020_02_04_en_ddda7fc4_4743_11ea_98d3_d398762f0516.html"
"2020-02-04","http://wjw.shanxi.gov.cn:80/wjywl02/24690.hrh","山西加强新型冠状病毒感染的肺炎医疗救治省级专家组力量","Shanxi Strengthens Provincial Expert Group for New Type Coronavirus Infected Pneumonia Treatment","2020_02_04_en_e27c2bc2_4743_11ea_98d3_d398762f0516.html"
"2020-02-04","http://wjw.shanxi.gov.cn:80/wjywl02/24658.hrh","2020年2月4日山西省新型冠状病毒感染的肺炎疫情情况","Epidemic situation of new coronavirus infection in Shanxi Province on February 4, 2020","2020_02_04_en_f97e7eec_4743_11ea_98d3_d398762f0516.html"
